fecha,ipc_diario,ipc,tc_a3500,tc_ccl,billetes_monedas_publico,billetes_monedas_entidades,cc_bcra,base_monetaria,cuenta_corriente,cajas_de_ahorro,plazo_fijo,m2,circulante_real,cajas_de_ahorro_real,cuenta_corriente_real,plazo_fijo_real,base_monetaria_real,m2_real,m3_real,base_monetaria_ccl,m2_ccl,m3_ccl,depositos_en_usd_total,depositos_en_usd_privado,depositos_en_usd_privado_ma_5dias,var_depositos_en_usd_privado_ma_5dias,tasa_politica_monetaria_tna,tasa_pases_pasivos_tna,tasa_pases_activos_tna,tasa_pases_bancos_tna,tasa_badlar_tna,tasa_tm20_tna,tasa_tamar_tna,tasa_call_interbank_tna,tasa_adelantos_tna,tasa_prestamos_personales_tna,tasa_plazo_fijo_tna,tasa_politica_monetaria_tem,tasa_badlar_tem,tasa_tm20_tem,tasa_tamar_tem,tasa_call_interbank_tem,tasa_pases_tem,tasa_adelantos_tem,tasa_plazo_fijo_tem,tasa_real_plazo_fijo_ex_post_tea,tasa_real_plazo_fijo_ex_post_tem,tasa_usd_plazo_fijo_ex_post_tea,tasa_usd_plazo_fijo_ex_post_tem,costo_de_oportunidad_liquidez_peos,costo_liquidez_bancaria,costo_de_oportunidad_ventanilla_de_pases,credito_documentos,credito_personales,credito_tarjetas,credito_otros,credito_total,credito_total_año_anterior,credito_documentos_real,credito_personales_real,credito_tarjetas_real,credito_otros_real,credito_total_real,var_ia_credito_pesos,var_ia_credito_pesos_ma_5dias,var_diaria_credito_ma_5dias,credito_dolares_documentos,credito_dolares_personales,credito_dolares_tarjetas,credito_dolares_otros,credito_dolares_total,credito_dolares_total_ano_anterior,var_ia_credito_dolares,var_5dias_credito_usd_ma,stock_pases,stock_pases_en_fci,lediv_lebacusd_legar_bopreal_usd,lefis
2003-05-23,0.999785917,0.000279061,2.839,2.92,18201.66,2253,13285.32,33739.98,14837,14837,44857.94136,50128.66,73.29804355,53.1674969,53.1674969,160.7457342,120.9051885,179.6330373,340.3787715,11554.78767,17167.34932,32529.658,1220,968,0,0,0,#N/A,#VALUE!,#VALUE!,0.11375,0,0,0.036821407,#VALUE!,#VALUE!,0.124156139,0,0.009349315,0,#N/A,0.003030848,#N/A,#VALUE!,0.010204614,0.183033141,0.014105355,0,0,#VALUE!,#VALUE!,#VALUE!,4791,2138,1873,18102,26904,0,17.16826027,7.661394377,6.711782819,64.86742798,96.40886544,#DIV/0!,0,0,671,0,17,681,1369,#N/A,#N/A,0,s/o,s/o,0,0
2003-05-26,0.999785917,0.000279002,2.8913,2.9,18090.32,2346,13313.38,33749.7,15026,15026,44384.92867,50488.32,73.24800439,53.85629673,53.85629673,159.084779,120.9659163,180.9605979,340.0453768,11637.82759,17409.76552,32714.91333,1231,979,0,0,0,#N/A,#VALUE!,#VALUE!,0.104375,0,0,0.032968317,#VALUE!,#VALUE!,0.114432953,0,0.008578767,0,#N/A,0.002713277,#N/A,#VALUE!,0.009405448,0.171851205,0.013303103,0,0,#VALUE!,#VALUE!,#VALUE!,4776,2135,1896,18156,26963,0,17.11817338,7.652282279,6.795656768,65.07486513,96.64097756,#DIV/0!,0,0,670,0,17,679,1366,0,#DIV/0!,0,s/o,s/o,0,0
2003-05-27,0.999785917,0.000278942,2.8825,2.9,18009,2397,13488.44,33894.44,15110,15110,44097.06761,50626,73.15499245,54.16896677,54.16896677,158.086869,121.5107077,181.492926,339.579795,11687.73793,17457.24138,32663.12676,1239,987,0,0,0,#N/A,#VALUE!,#VALUE!,0.090625,0,0,0.033828284,#VALUE!,#VALUE!,0.101103158,0,0.00744863,0,#N/A,0.002784147,#N/A,#VALUE!,0.008309849,0.15667899,0.012203273,0,0,#VALUE!,#VALUE!,#VALUE!,4772,2115,1927,18178,26992,0,17.10749897,7.582221358,6.908246126,65.16766896,96.76563541,#DIV/0!,0,0,668,0,18,685,1371,#N/A,#N/A,0,s/o,s/o,0,0
2003-05-28,0.999785917,0.000278882,2.8683,2.9,18011.07,2428,13366.9,33805.97,15462,15462,44163.87732,51363.07,73.28923752,55.44274718,55.44274718,158.3602823,121.219496,184.1747319,342.5350142,11657.23103,17711.40345,32940.32666,1231,981,0,0,0,#N/A,#VALUE!,#VALUE!,0.093125,0,0,0.0337559,#VALUE!,#VALUE!,0.10153802,0,0.00765411,0,#N/A,0.002778181,#N/A,#VALUE!,0.008345591,0.157171102,0.012239153,0,0,#VALUE!,#VALUE!,#VALUE!,4773,2114,1966,18145,26998,0,17.11474792,7.580259186,7.049569328,65.06329372,96.80787015,#DIV/0!,0,0,667,0,18,671,1356,0,#DIV/0!,0,s/o,s/o,0,0
2003-05-29,0.999785917,0.000278823,2.8753,2.9,18048.35,2466,13662.21,34176.56,15736,15736,44085.12778,51986.35,73.57492332,56.43732282,56.43732282,158.1117557,122.5745774,186.449569,344.5613247,11785.02069,17926.32759,33128.09578,1205,983,979.6,0,0,#N/A,#VALUE!,#VALUE!,0.1,0,0,0.034701151,#VALUE!,#VALUE!,0.108635574,0,0.008219178,0,#N/A,0.002856085,#N/A,#VALUE!,0.008928951,0.165230245,0.012824766,0,0,#VALUE!,#VALUE!,#VALUE!,4765,2110,2014,18104,26993,0,17.08972059,7.567536296,7.223231327,64.93017872,96.81066693,#DIV/0!,#DIV/0!,0,666,0,18,676,1360,#N/A,#N/A,#N/A,s/o,s/o,0,0
2003-05-30,0.999785917,0.000278763,2.8825,2.88,18182.71,2544,13422.48,34149.19,15895,15895,44285.81128,52516.71,74.35247218,57.01978487,57.01978487,158.8655195,122.5026403,188.3920419,347.2575614,11857.35764,18234.96875,33611.98656,1243,1014,988.8,9.2,0,#N/A,#VALUE!,#VALUE!,0.085625,0,0,0.031579254,#VALUE!,#VALUE!,0.102450319,0,0.007037671,0,#N/A,0.002598814,#N/A,#VALUE!,0.008420574,0.158204132,0.012314426,0,0,#VALUE!,#VALUE!,#VALUE!,4737,2107,2048,18001,26893,0,16.9929362,7.558394887,7.346745481,64.57459248,96.47266905,#DIV/0!,#DIV/0!,0,675,0,18,642,1335,0,#DIV/0!,#DIV/0!,s/o,s/o,0,0
2003-06-02,0.999952683,0.000278703,2.8632,2.86,18418.73,2486,13389.6,34294.33,16016,16016,44290.26167,52936.73,75.00713715,57.46614803,57.46614803,158.9155053,123.0496406,189.9394332,348.8549386,11991.02448,18509.34615,33995.45163,1230,1001,993.2,4.4,0,#N/A,#VALUE!,#VALUE!,0.096875,0,0,0.033387882,#VALUE!,#VALUE!,0.106243108,0,0.007962329,0,#N/A,0.002747852,#N/A,#VALUE!,0.00873231,0.121372599,0.009591832,0,0,#VALUE!,#VALUE!,#VALUE!,4756,2092,2026,18092,26966,0,17.06474775,7.506192662,7.269381612,64.91493195,96.75525398,#DIV/0!,#DIV/0!,0,672,0,18,675,1365,#N/A,#N/A,#N/A,s/o,s/o,0,0
2003-06-03,0.999952683,0.00027869,2.8468,2.85,18550.56,2489,13462.75,34502.31,15773,15773,44557.84777,52585.56,75.49448556,56.59693077,56.59693077,159.8831818,123.8017404,188.6883471,348.5715289,12106.07368,18451.07368,34085.40624,1248,1019,999.6,6.4,0,#N/A,#VALUE!,#VALUE!,0.10375,0,0,0.03342144,#VALUE!,#VALUE!,0.108508641,0,0.008527397,0,#N/A,0.002750618,#N/A,#VALUE!,0.008918518,0.123859137,0.009778199,0,0,#VALUE!,#VALUE!,#VALUE!,4745,2091,2029,18062,26927,0,17.02608486,7.50295963,7.280490239,64.81035717,96.6198919,#DIV/0!,#DIV/0!,0,670,0,18,674,1362,0,#DIV/0!,#DIV/0!,s/o,s/o,0,0
2003-06-04,0.999952683,0.000278677,2.838,2.85,18660.66,2495,13443.29,34598.95,15740,15740,44784.0985,52635.66,75.91466946,56.48119214,56.48119214,160.7026221,124.1543801,188.8770537,349.5796759,12139.98246,18468.65263,34182.3714,1260,1027,1008.8,9.2,0,#N/A,#VALUE!,#VALUE!,0.096875,0,0,0.034363527,#VALUE!,#VALUE!,0.105462441,0,0.007962329,0,#N/A,0.002828259,#N/A,#VALUE!,0.008668146,0.120516947,0.009527613,0,0,#VALUE!,#VALUE!,#VALUE!,4767,2091,2027,18191,27076,0,17.105835,7.503314661,7.273657971,65.27632568,97.15913332,#DIV/0!,#DIV/0!,0,670,0,18,674,1362,#N/A,#N/A,#N/A,s/o,s/o,0,0
2003-06-05,0.999952683,0.000278664,2.8255,2.85,18871.64,2477,13358.98,34707.62,15495,15495,45178.68267,52338.64,76.61078111,55.60466865,55.60466865,162.1262136,124.5502233,187.8201184,349.946332,12178.11228,18364.43509,34216.60445,1259,1028,1017.8,9,0,#N/A,#VALUE!,#VALUE!,0.096875,0,0,0.034115499,#VALUE!,#VALUE!,0.108098856,0,0.007962329,0,#N/A,0.002807817,#N/A,#VALUE!,0.008884837,0.123409003,0.009744489,0,0,#VALUE!,#VALUE!,#VALUE!,4766,2091,2003,18180,27040,0,17.10305587,7.503669709,7.187876818,65.23994037,97.03454277,#DIV/0!,#DIV/0!,-0.057457371,667,0,18,671,1356,0,#DIV/0!,#DIV/0!,s/o,s/o,0,0
