serie,grupo,codigo,etiqueta
billetes_monedas_publico,Agregados Monetarios Nominales,1,Billetes y monedas en manos del público
billetes_monedas_entidades,Agregados Monetarios Nominales,1,Billetes y monedas en entidades financieras
cc_bcra,Agregados Monetarios Nominales,1,Cuentas Corrientes de entidades en el BCRA
base_monetaria,Agregados Monetarios Nominales,1,Base Monetaria
cuenta_corriente,Agregados Monetarios Nominales,1,Cuentas Corrientes
cajas_de_ahorro,Agregados Monetarios Nominales,1,Cajas de Ahorro
plazo_fijo,Agregados Monetarios Nominales,1,Plazo Fijo
m2,Agregados Monetarios Nominales,1,M2 (
circulante_real,Base Monetaria,2,Circulate real
base_monetaria_real,Base Monetaria,2,Base Monetaria Real
base_monetaria_ccl,Base Monetaria,2,Base Monetaria al CCL
cajas_de_ahorro_real,M2,3,Cajas de Ahorro Real
cuenta_corriente_real,M2,3,Cuentas Corrientes Real
m2_real,M2,3,M2 Real
m2_ccl,M2,3,M2 al CCL
plazo_fijo_real,M3,4,Plazo Fijo Real
m3_real,M3,4,M3 Real
m3_ccl,M3,4,M3 CCL
depositos_en_usd_total,Depósitos en dólares,5,Stock total de depósitos en dólares
depositos_en_usd_privado,Depósitos en dólares,5,Stock de depósitos en dólares del sector privado
depositos_en_usd_privado_ma_5dias,Depósitos en dólares,5,Stock de depósitos en dólares del sector privado (MA 5 dias)
var_depositos_en_usd_privado_ma_5dias,Depósitos en dólares,5,Var. 5 días de los depósitos en USD privados (MA 5 días)
tasa_politica_monetaria_tna,Tasas BCRA,6,Tasa de política monetaria TNA
tasa_pases_pasivos_tna,Tasas BCRA,6,Tasa de pases pasivos TNA
tasa_pases_activos_tna,Tasas BCRA,6,Tasa de pases activos TNA
tasa_politica_monetaria_tem,Tasas BCRA,6,Tasa de política monetaria TEM
tasa_pases_tem,Tasas BCRA,6,Tasa de pases pasivos TEM
tasa_pases_bancos_tna,Tasas privadas mayoristas,7,Tasa de pases entre bancos TNA
tasa_badlar_tna,Tasas privadas mayoristas,7,Tasa BADLAR TNA
tasa_tm20_tna,Tasas privadas mayoristas,7,Tasa TM20 TNA
tasa_tamar_tna,Tasas privadas mayoristas,7,Tasa TAMAR TNA
tasa_call_interbank_tna,Tasas privadas mayoristas,7,Tasa call interbanacario TNA
tasa_badlar_tem,Tasas privadas mayoristas,7,Tasa BADLAR TEM
tasa_tm20_tem,Tasas privadas mayoristas,7,Tasa TM20 TEM
tasa_tamar_tem,Tasas privadas mayoristas,7,Tasa TAMAR TEM
tasa_call_interbank_tem,Tasas privadas mayoristas,7,Tasa call interbanacario TEM
tasa_adelantos_tna,Tasas privadas minoristas,8,Tasa de adelantos TNA
tasa_prestamos_personales_tna,Tasas privadas minoristas,8,Tasa de préstamos personales TNA
tasa_plazo_fijo_tna,Tasas privadas minoristas,8,Tasa de plazo fijo TNA
tasa_adelantos_tem,Tasas privadas minoristas,8,Tasa de adelantos TEM
tasa_plazo_fijo_tem,Tasas privadas minoristas,8,Tasa de plazo fijo TEM
tasa_real_plazo_fijo_ex_post_tea,Tasa real y usd ex post,9,Tasa real de un plazo fijo (ex-post) TEA
tasa_real_plazo_fijo_ex_post_tem,Tasa real y usd ex post,9,Tasa real de un plazo fijo (ex-post) TEM
tasa_usd_plazo_fijo_ex_post_tea,Tasa real y usd ex post,9,Tasa en USD de un plazo fijo (ex-post) TEA
tasa_usd_plazo_fijo_ex_post_tem,Tasa real y usd ex post,9,Tasa en USD de un plazo fijo (ex-post) TEM
costo_de_oportunidad_liquidez_peos,Costos relativos de liquidez,10,Costo de oportunidad de la liquidez en pesos
costo_liquidez_bancaria,Costos relativos de liquidez,10,Costo de la liquidez bancaria
costo_de_oportunidad_ventanilla_de_pases,Costos relativos de liquidez,10,Costo de la ventanilla de pases
credito_documentos,Credito en $,11,Stock de crédito en documentos
credito_personales,Credito en $,11,Stock de crédito personales
credito_tarjetas,Credito en $,11,Stock de crédito en tarjetas de crédito
credito_otros,Credito en $,11,Stock de crédito en otros rubros
credito_total,Credito en $,11,Stock de crédito en pesos Total
credito_total_año_anterior,Credito en $,11,Stock de crédito en pesos Total año anterior
credito_documentos_real,Credito real en $,12,Stock real de crédito en documentos 
credito_personales_real,Credito real en $,12,Stock real de crédito personales
credito_tarjetas_real,Credito real en $,12,Stock real de crédito en tarjetas de crédito
credito_otros_real,Credito real en $,12,Stock real de crédito en otros rubros
credito_total_real,Credito real en $,12,Stock real de crédito en pesos Total
var_ia_credito_pesos,Var. Credito en $,13,Var. i.a del crédito en pesos en términos reales.
var_ia_credito_pesos_ma_5dias,Var. Credito en $,13,Var. 5 días del crédito en pesos en términos reales (MA 5 días).
var_diaria_credito_ma_5dias,Var. Credito en $,13,Var. diaria del crédito en pesos en términos reales (MA 5 días).
credito_dolares_documentos,Credito en USD,14,Crédito en dólares documentos
credito_dolares_personales,Credito en USD,14,Crédito en dólares préstamos personales
credito_dolares_tarjetas,Credito en USD,14,Crédito en dólares en tarjetas
credito_dolares_otros,Credito en USD,14,Crédito en dólares en otras fuentes
credito_dolares_total,Credito en USD,14,Crédito en dólares stock total
credito_dolares_total_ano_anterior,Credito en USD,14,Crédito en dólares año anterior
var_ia_credito_dolares,Dinámica credito en USD,15,Var. i.a del crédito en dólares
var_5dias_credito_usd_ma,Dinámica credito en USD,15,Var. semanal del crédito en dólares (MA 5 días)
ipc_diario,Auxiliares,17,IPC Diario
ipc,Auxiliares,17,IPC normalizado al último dato
tc_a3500,Auxiliares,17,TC A3500
tc_ccl,Auxiliares,17,TC CCL
stock_pases,Instrumentos del BCRA,16,Stock diario de pases pasivos del BCRA
stock_pases_en_fci,Instrumentos del BCRA,16,Stock diario de pases pasivos del BCRA en FCI
lediv_lebacusd_legar_bopreal_usd,Instrumentos del BCRA,16,"Stock de Lediv, LEBAC USD, BOPREAL"
lefis,Instrumentos del BCRA,16,Stock de LEFIs
